Gonzaga,Gonzaga Bulldogs
Baylor,Baylor Bears
Iowa,Iowa Hawkeyes
Colgate,Colgate Raiders
Houston,Houston Cougars
Belmont,Belmont Bruins
Toledo,Toledo Rockets
Wright State,Wright State Raiders
Villanova,Villanova Wildcats
Illinois Fighting Illini
LSU,LSU Tigers
Drake,Drake Bulldogs
Liberty,Liberty Flames
Ohio State,Ohio State Buckeyes
Michigan,Michigan Wolverines
Detroit,Detroit Titans
Ohio,Ohio Bobcats
Weber State,Weber State Wildcats
Virginia,Virginia Cavaliers
S Dakota St,South Dakota State Jackrabbits
S Utah,Southern Utah Thunderbirders
Furman,Furman Paladins
Bellarmine,Bellarmine Knights
Loyola-Chi,Loyola Chicago Ramblers
Davidson,Davidson Wildcats
Colorado,Colorado Buffaloes
Florida St,Florida State Seminoles
Oregon,Oregon Ducks
E Washington,Eastern Washington Eagles
UCLA,UCLA Bruins
UCSB,UC Santa Barbara Gauchos
Creighton,Creighton Bluejays
Saint Louis,Saint Louis Billikens
Arkansas,Arkansas Razorbacks
Arizona,Arizona Wildcats
Marshall,Marshall Thundering Herd
Boise State,Boise State Broncos
San Diego St,San Diego State Aztecs
Duke,Duke Blue Devils
USC,USC Trojans
W Virginia,West Virginia Mountaineers
Winthrop,Winthrop Eagles
BYU,BYU Cougars
Wyoming,Wyoming Cowboys
Notre Dame,Notre Dame Fighting Irish
GA Tech,Georgia Tech Yellow Jackets
Buffalo,Buffalo Bulls
South Dakota,South Dakota Coyotes
Syracuse,Syracuse Orange
Vermont,Vermont Catamounts
Oral Roberts,Oral Roberts Golden Eagles
Akron,Akron Zips
Cal Baptist,California Baptist Lancers
Lafayette,Lafayette Leopards
Richmond,Richmond Spiders
Colorado St,Colorado State Rams
Texas Tech,Texas Tech Red Raiders
Bryant,Bryant Bulldogs
Kent State,Kent State Golden Flashes
Bowling Grn,Bowling Green Falcons
St Bonavent,St. Bonaventure Bonnies
Grd Canyon,Grand Canyon Antelopes
Connecticut,Connecticut Huskies
Oklahoma,Oklahoma Sooners
Missouri St,Missouri State Bears
NC State,North Carolina State Wolfpack
Drexel,Drexel Dragons
Mercer,Mercer Bears
VA Tech,Virginia Tech Hokies
Murray St,Murray State Racers
Xavier,Xavier Musketeers
Purdue,Purdue Boilermakers
N Kentucky,Northern Kentucky Norse
Miami (OH),Miami (OH) RedHawks
Ste F Austin,Stephen F. Austin Lumberjacks
Georgia St,Georgia State Panthers
Wofford,Wofford Terriers,
Youngs St,Youngstown State Penguins
Austin Peay,Austin Peay Governors
N Mex State,New Mexico State Aggies
Abl Christian, Abilene Christian Wildcats
Hofstra, Hofstra Pride
Texas,Texas Longhorns
Wisconsin,Wisconsin Badgers
Jksnville St,Jacksonville State Gamecocks
Utah,Utah Runnin' Utes
Gard-Webb,Gardner-Web Runnin' Bulldogs
Alabama,Alabama Crimson Tide
Kansas,Kansas Jayhawks
St Johns,St. John's Red Storm
E Kentucky,Eastern Kentucky Colonels
North Texas,North Texas Mean Green
WI-Milwkee,Milwaukee Panthers
St Fran (NY),St. Francis Brooklyn Terriers
Oregon St,Oregon State Beavers
Citadel,Citadel Bulldogs
James Mad,James Madison Dukes
Navy,Navy Midshipmen
N Dakota St,North Dakota State Bison
Sac State,Sacramento State Hornets
Wagner,Wagner Seahawks
IPFW,Purdue Fort Wayne Mastodons
W Kentucky,Western Kentucky Hilltoppers
Nevada,Nevada Wolf Pack
Florida,Florida Gators
N Carolina,North Carolina Tar Heels
Campbell,Campbell Fighting Camels
Tennesse,Tennessee Volunteers
Maryland,Maryland Terrapins
Utah State,Utah State Aggies
CS Fullerton,Cal State Fullerton Titans
U Mass,Massachusetts Minutemen
Auburn,Auburn Tigers
Coastal Car,Coastal Carolina Chanticleers
UC Riverside,UC Riverside Highlanders
Pittsburgh,Pittsburgh Panthers
S Alabama,South Alabama Jaguars
Chattanooga,Chattanooga Mocs
F Dickinson,Fairleigh Dickinson Knights
Col Charlestn,Charleston Cougars
NC-Grnsboro,Greensboro Pride
Seton Hall,Seton Hall Pirates
Missouri,Missouri Tigers
Dayton,Dayton Flyers
Vanderbilt,Vanderbilt Commodores
Fla Atlantic,Florida Atlantic Owls
Evansville,Evansville Aces
Louisville,Louisville Cardinals
Bucknell,Bucknell Bison
UAB,UAB Blazers
Penn State,Penn State Nittany Lions
Nicholls St,Nicholls Colonels
Oklahoma St,Oklahoma State Cowboys
CS Bakersfld,Bakersfield Roadrunners
WI-Grn Bay,Green Bay Phoenix
LA Tech,Louisiana Tech Bulldogs
Ball State,Ball State Cardinals
Morgan St,Morgan State Bears
Oakland,Oakland Golden Grizzlies
San Fransco,San Francisco Dons
Cleveland St,Cleveland State Vikings
Boston U,Boston University Terriers
Loyola Mymt,Loyola Marymount Lions
Pepperdine,Pepperdine Waves
Lipscomb,Lipscomb Bisons
Rice,Rice Owls
E Tenn St,East Tennessee State Buccaneers
Stetson,Stetson Hatters
Iona,Iona Gaels
Wichita St,Wichita State Shockers
